City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Balaka,MW,-14.9793,34.9558,75.94,33,5,8.34,clear sky
287,Zhigansk,RU,66.7697,123.3711,44.2,66,12,9.6,few clouds
288,Komsomolskiy,UZ,40.4272,71.7189,74.12,27,87,6.91,overcast clouds
289,Ust-Nera,RU,64.5667,143.2,37.96,70,73,2.8,broken clouds
290,Nakhon Phanom,TH,17.3333,104.4167,75.76,94,100,1.74,moderate rain
291,Chukhloma,RU,58.7525,42.6825,49.01,74,100,3.24,overcast clouds
292,Zhangye,CN,38.9342,100.4517,74.62,29,27,3.33,scattered clouds
293,Verkhnyaya Inta,RU,65.9811,60.3094,36.99,92,100,11.25,overcast clouds
294,Juneau,US,58.3019,-134.4197,53.83,95,90,4.0,moderate rain
295,Soyaux,FR,45.65,0.2,75.18,51,75,5.75,broken clouds
296,Port Victoria,KE,0.0939,33.9756,72.34,68,42,8.12,scattered clouds
297,Durazno,UY,-33.4131,-56.5006,64.31,70,22,9.01,few clouds
298,Menongue,AO,-14.6585,17.691,86.16,14,56,8.97,broken clouds
299,Poum,NC,-20.2333,164.0167,69.76,69,7,12.64,clear sky
300,Benguela,AO,-12.5763,13.4055,73.87,83,49,8.37,scattered clouds
301,Nadym,RU,65.5333,72.5167,44.92,61,100,16.22,overcast clouds
302,Dong Hoi,VN,17.4833,106.6,78.8,87,100,5.14,heavy intensity rain
303,Astakos,GR,38.5356,21.0814,76.98,54,93,2.42,overcast clouds
304,Walla Walla,US,46.0646,-118.343,65.37,65,75,4.0,broken clouds
305,Pilar,BR,-9.5972,-35.9567,85.93,48,39,10.8,scattered clouds
306,Saint-Leu,RE,-21.15,55.2833,68.86,76,41,10.98,scattered clouds
307,Ingleside,US,27.8778,-97.2117,87.89,58,1,1.99,clear sky
308,Hsinchu,TW,24.8036,120.9686,85.98,71,100,2.93,light rain
309,Yei,SS,4.095,30.6779,70.5,89,80,1.28,light rain
310,Lompoc,US,34.6391,-120.4579,67.68,89,90,0.0,mist
